ev_id,Aircraft_Key,finding_no,finding_code,finding_description,category_no,subcategory_no,section_no,subsection_no,modifier_no,Cause_Factor,lchg_date,lchg_userid
"20001208X08803",1,1,"0204152044","Personnel issues-Action/decision-Info processing/decision-Decision making/judgment-Pilot - C","02","04","15","20","44","C","09/05/19 08:09:41","hopj"
"20001208X08803",1,2,"0303507584","Environmental issues-Conditions/weather/phenomena-Ceiling/visibility/precip-Below VFR minima-Decision related to condition - C","03","03","50","75","84","C","09/05/19 08:09:41","hopj"
"20001208X08803",1,3,"0303507582","Environmental issues-Conditions/weather/phenomena-Ceiling/visibility/precip-Below VFR minima-Effect on operation - C","03","03","50","75","82","C","09/05/19 08:09:41","hopj"
"20001208X08803",1,4,"0106201220","Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Altitude-Not attained/maintained - C","01","06","20","12","20","C","09/05/19 08:09:41","hopj"
"20001208X08803",1,5,"0106200020","Aircraft-Aircraft oper/perf/capability-Performance/control parameters-(general)-Not attained/maintained - C","01","06","20","00","20","C","09/05/19 08:09:41","hopj"
"20170710X10920",1,1,"0106201220","Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Altitude-Not attained/maintained - C","01","06","20","12","20","C","09/19/17 11:12:23","broda"
"20170710X10920",1,2,"0206300044","Personnel issues-Task performance-Use of equip/info-(general)-Pilot - C","02","06","30","00","44","C","09/19/17 11:12:23","broda"
"20170710X10920",1,3,"0302101099","Environmental issues-Physical environment-Terrain-Mountainous/hilly terrain-Not specified - F","03","02","10","10","99","F","09/19/17 11:12:23","broda"
"20170710X10920",1,4,"0303102099","Environmental issues-Conditions/weather/phenomena-Temp/humidity/pressure-High density altitude-Not specified - F","03","03","10","20","99","F","09/19/17 11:12:23","broda"
"20170710X52551",1,1,"0103531206","Aircraft-Aircraft structures-Fuselage-Bulkheads (main fuselage)-Fatigue/wear/corrosion - C","01","03","53","12","06","C","09/19/17 10:57:07","broda"
